通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接码
【教研教改】,关于组织参加2026年“智慧树杯”课创赛、专创赛的通知,2026-05-22,https://jwch.fzu.edu.cn/info/1037/14653.htm,无附件,0,无
【质量办】,关于举办福州大学第八十四场“教学有道”研讨活动的通知,2026-05-22,https://jwch.fzu.edu.cn/info/1040/14650.htm,无附件,0,无
【教学运行】,关于2025-2026学年第二学期《概率论与数理统计》课程期末考试安排的通知,2026-05-21,https://jwch.fzu.edu.cn/info/1036/14649.htm,2502概率期末考-6.7下午.xlsx,41,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18267459
【教学运行】,关于2025-2026学年第二学期《线性代数》、《线性代数与解析几何》课程期末考试安排的通知,2026-05-21,https://jwch.fzu.edu.cn/info/1036/14648.htm,2502线性代数、线性代数与解析几何期末考-6.7上午.xlsx,50,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18267460
【教学运行】,关于2025-2026学年第二学期计算机语言类课程期末考试安排的通知,2026-05-21,https://jwch.fzu.edu.cn/info/1036/14647.htm,2502计算机语言类期末考-5.30.xlsx,49,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18267641
【教学运行】,关于2025-2026学年第二学期《习近平新时代中国特色社会主义思想概论》课程期末考试安排的通知,2026-05-21,https://jwch.fzu.edu.cn/info/1036/14646.htm,2502习概随堂考.xlsx,67,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18267426
【教学运行】,福州大学关于印发2026—2027学年校历的通知,2026-05-19,https://jwch.fzu.edu.cn/info/1036/14639.htm,无附件,0,无
【实践科】,关于做好2026届本科生毕业设计（论文）查重检测、答辩与成绩评定工作的通知,2026-05-15,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14634,无附件,0,无
【综合科】,关于2025-2026学年第二学期再次开放本科生学生证补办和火车票优惠区间更改的通知,2026-05-14,https://jwch.fzu.edu.cn/info/1035/14633.htm,无附件,0,无
【计划科】,关于组织申报2026-2027学年第一学期通识教育选修课的通知,2026-05-14,https://jwch.fzu.edu.cn/info/1038/14632.htm,无附件,0,无
【电教中心】,关于开展“AI辅助教学、助力课堂创新”智慧教学第八期培训的通知,2026-05-12,https://jwch.fzu.edu.cn/info/1041/14628.htm,无附件,0,无
【质量办】,关于举办福州大学第八十三场“教学有道”研讨活动的通知,2026-05-12,https://jwch.fzu.edu.cn/info/1040/14626.htm,无附件,0,无
【实践科】,关于举办2026年福州大学第二十六届数学竞赛的通知,2026-05-11,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14625,无附件,0,无
【实践科】,关于公布福州大学第十七届企业经营模拟沙盘对抗赛获奖名单的通知,2026-05-11,https://jwch.fzu.edu.cn/info/1039/14624.htm,无附件,0,无
【实践科】,关于公布福州大学第二十三届程序设计竞赛获奖名单的通知,2026-05-11,https://jwch.fzu.edu.cn/info/1039/14623.htm,无附件,0,无
【实践科】,关于公布福州大学第十二届桥梁设计大赛获奖名单的通知,2026-05-11,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14622,无附件,0,无
【计划科】,2025-2026学年第二学期在校学生申请辅修专业的通知,2026-05-11,https://jwch.fzu.edu.cn/info/1038/14621.htm,无附件,0,无
【教材中心】,关于做好2025-2026学年第二学期本科课程实施与教材使用监测工作的通知,2026-05-06,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1042&wbnewsid=14617,无附件,0,无
【实践科】,关于开展2026届本科毕业设计（论文）抽检送审工作的通知,2026-04-29,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14611,无附件,0,无
【教学运行】,关于2025-2026学年第二学期《大学物理C》、《大学物理D》课程半期考试安排的通知,2026-04-27,https://jwch.fzu.edu.cn/info/1036/14607.htm,2502大物D半期考(5.14晚上) 大物C半期考(5.16下午).xlsx,164,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18251545
【教学运行】,关于2025-2026学年第二学期《线性代数》课程半期考试安排的通知,2026-04-27,https://jwch.fzu.edu.cn/info/1036/14606.htm,2502线代半期考-5.10下午.xlsx,220,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=18251541
【质量办】,关于举办福州大学第八十二场“教学有道”研讨活动的通知,2026-04-24,https://jwch.fzu.edu.cn/info/1040/14602.htm,无附件,0,无
