问题名,问题具体内容,回答信息
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,给，但是换一种方式，别微信传，也别U盘。 Github上创建一个Repository，先空着。让他Star你。当然他一个人还不够，让他想办法发动更多人去Star。 超过10 Star，你就把代码Push上去，然后让他Fork。 超过100 Star，都不用他修改变量名，服务到家，你帮他改。然后用他的Github账号Pull Request。 这个Repository留着，以后学弟学妹们都用的到。平时Private，有人找你要代码，就把他加为Collaborator。这就是Github允许私有仓库人数无限制的福利。 这么多Star不仅仅是数字，而是你毕业找工作时简历上最亮的那颗Star。记得找工作期间Make Public。 不是开玩笑，如果我是大学老师，我就要求学生这样交代码作业。这是程序员的必备技能。我会给每一个班创建一个Organization，他们交作业我都知道，代码有问题就发Issue。全专业的学生互相Follow，谁的代码写得好，大家就Star。下次上课，我可以打开Github，讲评一下比较好的代码，也可以让同学们互相学习和评价别人的代码。 大一新生入学，先学习Github的基本用法，然后一项练习就是Star学长们的Repository，为他们找工作贡献一份自己的力量，这个优良传统一届一届传承下去... 软件程序的一个根本特征就是可复制性，这是其他行业没有的特质。开放源代码也是目前软件产业发展的一个主要驱动力。应该让即将从事这个行业的新人们更早更深刻的认识到软件可复制可分享的本质特点。 陈龙 24 次咨询 5.0 329532 次赞同 去咨询 关于如何最方便的浏览GitHub上的源代码，我之前专门写过文章。这里只给一个最简单最酷的办法，看这个视频： 00:28 浏览Github源代码 演示的是浏览LInux一个C程序代码。 只需要把http://github.com换成github.githistory.xyz就可以浏览当前源代码文件以及它的历史变更。
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,我不光给 我还传到校园网上。。。我毕业十年了。。。学校里还流传着我的代码 恶心着一代又一代的老师。。。 话说。。当年的代码写的真是烂啊。。。
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,"当然可以给，但是建议你在代码里做点手脚。 最初级的方法是在代码头部加入版权声明的注释，像下面这样子（以 C++ 程序为例）。但这种方法只能针对看都不看，直接原封不动地复制粘贴交作业的室友。 /* * 作业：*** * 作者：哆啦A梦 * 时间：2019-6-17 11:30 * 版权所有，盗版必究 */ #include <iostream> #define ___AUTHOR___IS___DORAEMON___ // 这里也是在说明作者是谁 // 再下面写程序代码就好了 对于那种稍微警觉一点的，会复查源代码的室友，会把以上注释去掉，甚至换成自己的注释，到头你反而解释不清楚了。这时候就需要将版权声明放在稍微隐蔽一点的地方。比如，使用 ASCII 码来代替纯粹的英文字符，将版权声明隐蔽到运行结果里。 #include <iostream> int main(void) { // 下面这段字符串的值是 FROM: DORAEMON，就是各个字母的 ASCII 码。 // 这句注释只是我来向大家解释这段代码是什么意思的，实际操作时千万别写 char a[] = {70, 82, 79, 77, 58, 32, 68, 79, 82, 65, 69, 77, 79, 78, 0}; std::cout << a << std::endl; // 打印版权信息 // 在下面写程序代码 } // main() 这样的话，室友即使复查你的代码，肯定也看不懂那串数字是什么意思（这都看懂了那还会找你抄代码吗！），越是看不懂的就越不敢乱改，等把作业交上去以后，老师一运行，自然知晓真相。 但是这样还不保险，万一室友运行了一遍程序，发现了你隐藏在代码里的版权信息怎么办？没关系，我们可以用条件触发器，超过指定的时间才显示版权信息！ #include <iostream> #include <ctime> int main(void) { char a[] = {70, 82, 79, 77, 58, 32, 68, 79, 82, 65, 69, 77, 79, 78, 0}; // 1560816000 是北京时间 2019 年 6 月 18 日 8 时的 Unix 时间戳，以下代码的作用是 // 仅当系统时间在 2019 年 6 月 18 日 8 时之后才打印版权信息。 if (std"
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,"当然可以给，但是建议你在代码里做点手脚。 最初级的方法是在代码头部加入版权声明的注释，像下面这样子（以 C++ 程序为例）。但这种方法只能针对看都不看，直接原封不动地复制粘贴交作业的室友。 /* * 作业：*** * 作者：哆啦A梦 * 时间：2019-6-17 11:30 * 版权所有，盗版必究 */ #include <iostream> #define ___AUTHOR___IS___DORAEMON___ // 这里也是在说明作者是谁 // 再下面写程序代码就好了 对于那种稍微警觉一点的，会复查源代码的室友，会把以上注释去掉，甚至换成自己的注释，到头你反而解释不清楚了。这时候就需要将版权声明放在稍微隐蔽一点的地方。比如，使用 ASCII 码来代替纯粹的英文字符，将版权声明隐蔽到运行结果里。 #include <iostream> int main(void) { // 下面这段字符串的值是 FROM: DORAEMON，就是各个字母的 ASCII 码。 // 这句注释只是我来向大家解释这段代码是什么意思的，实际操作时千万别写 char a[] = {70, 82, 79, 77, 58, 32, 68, 79, 82, 65, 69, 77, 79, 78, 0}; std::cout << a << std::endl; // 打印版权信息 // 在下面写程序代码 } // main() 这样的话，室友即使复查你的代码，肯定也看不懂那串数字是什么意思（这都看懂了那还会找你抄代码吗！），越是看不懂的就越不敢乱改，等把作业交上去以后，老师一运行，自然知晓真相。 但是这样还不保险，万一室友运行了一遍程序，发现了你隐藏在代码里的版权信息怎么办？没关系，我们可以用条件触发器，超过指定的时间才显示版权信息！ #include <iostream> #include <ctime> int main(void) { char a[] = {70, 82, 79, 77, 58, 32, 68, 79, 82, 65, 69, 77, 79, 78, 0}; // 1560816000 是北京时间 2019 年 6 月 18 日 8 时的 Unix 时间戳，以下代码的作用是 // 仅当系统时间在 2019 年 6 月 18 日 8 时之后才打印版权信息。 if (std"
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,现有回答的答案都服务太不到位了。 岂止是要给啊，还要为了不让老师看出来，给改好了再给。 想当年我上大学的时候，老师留的作业，我也是啃了好久才啃出来。 然后，顺理成章地，同学们就来索要了。我说好，为了不让老师看出来，我给你个变种的版本。（你那水平，给你去改我都不放心。这句话没说出来。） 于是，一个作业我写了4份，每份的算法都有些差异。每次我都有新的收获和进步。（那年头，我们一个寝室8个人。） 等我把4份写完了给他们，我再取其精华，充实一下自己的作业，我还是那个最好的。 要不是那样，我怎么能理解内存分配、怎么能掌握调试的精髓？ 所以，要给。如果有精力还要多给几份，多改改。 这是不可多得的练习重构代码的机会。 一个附带的效果，就是我虽然人单力薄，但是在寝室里从此说一不二。谁敢忤逆，我就一句话：你还想不想毕业了？ 至于他们今后的死活，能不能找到工作……那我就管不了那么多了，我跟他们还没那么深的交情。
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,某些高赞是想让题主死吗…… 伤害室友感情级别，由低到高： 1、给他抄。 2、给他抄，但附加合理的收费。 3、不给抄，但提供帮助/思路 4、礼貌且果断的拒绝，明确表示我不愿意让别人抄作业，关系再好也不行。（让他知道这是你的原则，不是因为你不把他当兄弟） 5、犹豫且模棱两可的拒绝。 6、用拙劣的借口拒绝。 7、拒绝并附带嘲讽（划水挂科活该，您配吗？） 8、爽快答应，但暗中使用手段，使室友被查出抄袭。 你室友想抄你，他自己也会觉得理亏，你不给他抄不太会影响友情。（如果实在来不及了，你们关系又不错，可以适当帮一把） 但你要是答应给他抄，然后背后捅刀子，别说这段友情必然凉凉，你的臭名甚至会传遍整个专业整个学校。大家都知道xx班有个笑里藏刀的小人，表面装好人，背后害自己兄弟。 做这种事，老师不但不会夸你机智，还会瞧不起你。我们班就有一个偷偷举报污蔑同学被抓包的，老师同学都不正眼看她，可想而知一切奖项好事都没她的份了。 那可真的是药丸了。
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,当年学期末邻近，编译原理大作业让写个C0或者P0编译器。我上网找了个c实现的p0编译器，花了两天看了一遍，自己用Java重写了一份，打包上传交差。注意，我的版本是运行在命令行的。 室友看我写完了，拿走我代码，在上面包了个特别简单的UI，可以选择源文件，然后把编译结果输出在UI里的那种，然后也打包上传交差。 隔壁有个哥们从室友那里拿走了代码(他俩关系比较好，所以没直接找我拿)，扔掉了UI，做了个简单的jsp网页，可以上传源码，然后调用核心代码编译，返回编译结果，美其名曰在线编译。 结果你猜怎么着？？ 我60分，室友80分，隔壁那货95分。 所以你看，懂得包装和忽悠是多么重要！！现在我一线搬砖，室友小头目，隔壁那哥们早已不从事技术工作，部门经理，专职忽悠。古人云“三岁看到老”，性格决定命运，诚不我欺。 你所关心的抄不抄，给不给抄之类的都是细枝末节，对以后发展大方向没啥影响的。 PS，我当时对这种做法很不屑，但是后来回头看，这神特么“在线编译“，不就是后来大火的“云服务”思想的萌芽么？当时可是2006年，别说在线办公，互联网几乎各种空白，连新浪微博都没影呢。
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,你放到github上，贴上一个gpl协议，告诉舍友地址。 你维护的开源项目对吧，也有你的维护记录，老师也能看得到。
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,给。 大学有次，室友抄我代码，把我写在注释上的名字也抄上去了。结果我们连带挂了。 后来我创业，室友从上海赶到北京帮我做了3个月。 我觉得人生就应该这样。有借有还，算那么清楚就没朋友了。大五又如何，大六又如何？
室友想抄我的代码，给还是不给?,一门编程课临近截止，但几个大实验舍友全都没有写，打算照搬我的，但是这次作业老师提前说了会进行代码查重，舍友虽然承诺说会修改，但估计顶多改几个变量名，万…显示全部,想起叔当助教那会儿，班上有对儿小情侣，如胶似漆，在我office hour的时候，他俩也不问问题，就在我眼前腻着。叔心如止水，叔古井无波。。。 小妹子写的代码就每次都给那个小伙子抄，一模一样的。我也不好意思直接说他俩，叔说他俩自己也心虚啊，毕竟叔年轻时候也。。。。于是就天天暗示他俩代码要自己写才好，学到的东西才是自己的。还苦口婆心跟他们说如果我看到代码雷同，两边都给低分。无果。于是就每次多给给小伙子1～5分，如果小妹子98分，就给小伙子99分，如果小妹子70分，就给小伙子72分这个样子。 真爱啊，那小妹子竟然足足忍了一个月才终于受不了了，责令以后作业都小伙子自己写，然后她抄！ （本故事纯属虚构，如有雷同实属巧合，千万别对号入座。你俩最后要是成了也得谢谢叔，要是没成也不能全怪叔当年评分搞鬼对不对？） 广告 色情片如何损伤你的大脑？ 作者 柳叶锈刀 ¥9.90 去查看
